cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-01,1.0,0.6875,0.375,0.5,0.625,0.625,0.3125,0.625,0.625,0.3125,0.5,0.6875,0.25,0.4375,0.625,0.5625,0.4375,0.625,0.4375,0.5,0.5625,0.375,0.375,0.5625
2024-02,1.0,0.3103448275862069,0.5517241379310345,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.3793103448275862,0.4827586206896552,0.4827586206896552,0.3103448275862069,0.5172413793103449,0.41379310344827586,0.3793103448275862,0.4827586206896552,0.5517241379310345,0.5862068965517241,0.41379310344827586,0.2413793103448276,0.4482758620689655,0.4482758620689655,0.6206896551724138,0.3793103448275862,0.0
2024-03,1.0,0.5185185185185185,0.5555555555555556,0.48148148148148145,0.3333333333333333,0.5185185185185185,0.4074074074074074,0.5185185185185185,0.4074074074074074,0.4074074074074074,0.48148148148148145,0.4074074074074074,0.4074074074074074,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.3333333333333333,0.5925925925925926,0.48148148148148145,0.4444444444444444,0.48148148148148145,0.5555555555555556,0.0,0.0
2024-04,1.0,0.34375,0.34375,0.40625,0.4375,0.3125,0.375,0.4375,0.5,0.3125,0.40625,0.53125,0.34375,0.46875,0.3125,0.5,0.5,0.4375,0.4375,0.46875,0.34375,0.0,0.0,0.0
2024-05,1.0,0.5135135135135135,0.5135135135135135,0.4594594594594595,0.5405405405405406,0.40540540540540543,0.43243243243243246,0.40540540540540543,0.4864864864864865,0.35135135135135137,0.43243243243243246,0.5405405405405406,0.4594594594594595,0.5945945945945946,0.5945945945945946,0.4594594594594595,0.4864864864864865,0.5675675675675675,0.3783783783783784,0.40540540540540543,0.0,0.0,0.0,0.0
2024-06,1.0,0.32432432432432434,0.4594594594594595,0.3783783783783784,0.35135135135135137,0.3783783783783784,0.35135135135135137,0.2702702702702703,0.43243243243243246,0.43243243243243246,0.40540540540540543,0.35135135135135137,0.3783783783783784,0.32432432432432434,0.43243243243243246,0.32432432432432434,0.32432432432432434,0.43243243243243246,0.5135135135135135,0.0,0.0,0.0,0.0,0.0
2024-07,1.0,0.41818181818181815,0.4,0.38181818181818183,0.34545454545454546,0.4,0.36363636363636365,0.4,0.4,0.21818181818181817,0.4,0.4,0.4,0.32727272727272727,0.36363636363636365,0.32727272727272727,0.36363636363636365,0.41818181818181815,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,1.0,0.4888888888888889,0.4444444444444444,0.4444444444444444,0.4888888888888889,0.4444444444444444,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.4444444444444444,0.4222222222222222,0.4444444444444444,0.4666666666666667,0.4,0.4222222222222222,0.4222222222222222,0.4888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,1.0,0.46511627906976744,0.32558139534883723,0.3953488372093023,0.4883720930232558,0.37209302325581395,0.3953488372093023,0.5348837209302325,0.3953488372093023,0.3953488372093023,0.3488372093023256,0.4418604651162791,0.37209302325581395,0.4186046511627907,0.3023255813953488,0.3953488372093023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,1.0,0.525,0.325,0.4,0.45,0.475,0.35,0.325,0.6,0.45,0.55,0.425,0.5,0.425,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,1.0,0.43478260869565216,0.41304347826086957,0.3695652173913043,0.4782608695652174,0.5,0.5,0.3695652173913043,0.43478260869565216,0.391304347826087,0.4782608695652174,0.43478260869565216,0.41304347826086957,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,1.0,0.32432432432432434,0.32432432432432434,0.4864864864864865,0.5675675675675675,0.2702702702702703,0.32432432432432434,0.5405405405405406,0.5675675675675675,0.40540540540540543,0.3783783783783784,0.4594594594594595,0.6486486486486487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,1.0,0.44,0.28,0.44,0.52,0.36,0.32,0.36,0.3,0.34,0.38,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,1.0,0.3181818181818182,0.45454545454545453,0.4772727272727273,0.36363636363636365,0.4772727272727273,0.4090909090909091,0.36363636363636365,0.4090909090909091,0.4318181818181818,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03,1.0,0.4782608695652174,0.43478260869565216,0.45652173913043476,0.43478260869565216,0.3695652173913043,0.4782608695652174,0.3695652173913043,0.41304347826086957,0.45652173913043476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,1.0,0.4411764705882353,0.3235294117647059,0.47058823529411764,0.47058823529411764,0.4117647058823529,0.4411764705882353,0.5,0.38235294117647056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05,1.0,0.3275862068965517,0.3275862068965517,0.41379310344827586,0.3793103448275862,0.4482758620689655,0.41379310344827586,0.3448275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06,1.0,0.41379310344827586,0.3448275862068966,0.3448275862068966,0.27586206896551724,0.3793103448275862,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,1.0,0.3958333333333333,0.3541666666666667,0.4166666666666667,0.5833333333333334,0.4791666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,1.0,0.35555555555555557,0.35555555555555557,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,1.0,0.4166666666666667,0.2708333333333333,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10,1.0,0.38636363636363635,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11,1.0,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
